Title,CourseId,Provider,Format,SkillIds,FromLevel,ToLevel,URL,Description,ResourceType
Explore a Career as a Product Manager,CS002807,LinkedIn Learning,Learning Path,product-management;product-strategy,1,2,https://www.linkedin.com/learning/paths/explore-a-career-as-a-product-manager?leis=MVL,Introduction to the product manager role and responsibilities,Course
Product Management First Steps,CS006150,LinkedIn Learning,Course,product-management,1,2,https://www.linkedin.com/learning/product-management-first-steps?dApp=204528272&leis=MVL,First steps into product management fundamentals,Course
Communication for Product Managers,CS001472,LinkedIn Learning,Course,communication,2,4,https://www.linkedin.com/learning/communication-for-product-managers?dApp=204528272&leis=MVL,Communication mastery specific to product management context,Course
Transitioning to Product Management,CS007938,LinkedIn Learning,Course,product-management;product-strategy,2,3,https://www.linkedin.com/learning/transitioning-to-product-management?dApp=204528272&leis=MVL,Guide for professionals transitioning into product management,Course
Generative AI for Product Managers,CS004613,LinkedIn Learning,Course,ai-for-pm,2,3,https://www.linkedin.com/learning/generative-ai-for-product-managers?dApp=204528272&leis=MVL,How PMs can leverage generative AI in product strategy,Course
Becoming a Data Analyst,CS008326,LinkedIn Learning,Course,data-analysis,1,2,https://www.linkedin.com/learning/becoming-a-data-analyst-whether-that-word-is-in-your-title-or-not?dApp=204528272&leis=MVL,Entry point into data analysis for any professional,Course
Become a Data Analyst,CS003754,LinkedIn Learning,Learning Path,data-analysis,1,3,https://www.linkedin.com/learning/paths/become-a-data-analyst?leis=MVL,Complete learning path to become a proficient data analyst,Course
Introduction to Career Skills in Data Analytics,CS009068,LinkedIn Learning,Course,data-analysis,1,2,https://www.linkedin.com/learning/introduction-to-career-skills-in-data-analytics-2022?dApp=204528272&leis=MVL,Foundational career skills for aspiring data analysts,Course
Data Science Foundations: Fundamentals,CS005291,LinkedIn Learning,Course,data-science,1,2,https://www.linkedin.com/learning/data-science-foundations-fundamentals-24591071?dApp=204528272&leis=MVL,Core data science concepts and analytical fundamentals,Course
Databricks for Data Analysts,CS002540,LinkedIn Learning,Course,data-tools,2,3,https://www.linkedin.com/learning/databricks-for-data-analysts?dApp=204528272&leis=MVL,Using Databricks platform for advanced data analysis,Course
